LastTrackdt,VehId,VehNo,location.coordinates,location.type
2022-09-25T00:11:12.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:11:23.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:11:33.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:11:43.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:11:53.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:03.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:12.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:23.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:33.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:43.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:12:53.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:03.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:13.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:23.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:33.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:43.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:13:53.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:14:03.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:14:13.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:14:23.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:14:33.000Z,169,MH04-EP-836,"[72.975655,19.18697]",Point
2022-09-25T00:14:43.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:14:53.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:03.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:13.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:23.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:33.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:43.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:15:53.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:03.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:13.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:23.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:33.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:43.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:16:53.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:17:04.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:17:13.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:17:23.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:17:43.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:17:53.000Z,169,MH04-EP-836,"[72.975723,19.186897]",Point
2022-09-25T00:18:13.000Z,169,MH04-EP-836,"[72.975616,19.186956]",Point
2022-09-25T00:18:23.000Z,169,MH04-EP-836,"[72.975647,19.186972]",Point
2022-09-25T00:18:33.000Z,169,MH04-EP-836,"[72.97567,19.18697]",Point
2022-09-25T00:18:54.000Z,169,MH04-EP-836,"[72.97567,19.186968]",Point
2022-09-25T00:19:13.000Z,169,MH04-EP-836,"[72.975685,19.186968]",Point
2022-09-25T00:19:23.000Z,169,MH04-EP-836,"[72.9757,19.18697]",Point
2022-09-25T00:19:33.000Z,169,MH04-EP-836,"[72.975716,19.186977]",Point
2022-09-25T00:19:54.000Z,169,MH04-EP-836,"[72.975555,19.186962]",Point
2022-09-25T00:20:03.000Z,169,MH04-EP-836,"[72.975594,19.18741]",Point
2022-09-25T00:20:24.000Z,169,MH04-EP-836,"[72.975906,19.188828]",Point
2022-09-25T00:20:33.000Z,169,MH04-EP-836,"[72.976036,19.18948]",Point
2022-09-25T00:20:44.000Z,169,MH04-EP-836,"[72.976196,19.190351]",Point
2022-09-25T00:20:54.000Z,169,MH04-EP-836,"[72.976318,19.191133]",Point
2022-09-25T00:21:23.000Z,169,MH04-EP-836,"[72.97673,19.193569]",Point
2022-09-25T00:21:33.000Z,169,MH04-EP-836,"[72.976753,19.193855]",Point
2022-09-25T00:21:44.000Z,169,MH04-EP-836,"[72.976776,19.193937]",Point
2022-09-25T00:21:54.000Z,169,MH04-EP-836,"[72.97683,19.194225]",Point
2022-09-25T00:22:03.000Z,169,MH04-EP-836,"[72.97686,19.194458]",Point
2022-09-25T00:22:13.000Z,169,MH04-EP-836,"[72.97686,19.194666]",Point
2022-09-25T00:22:24.000Z,169,MH04-EP-836,"[72.976959,19.195047]",Point
2022-09-25T00:22:34.000Z,169,MH04-EP-836,"[72.976982,19.195156]",Point
2022-09-25T00:22:44.000Z,169,MH04-EP-836,"[72.977013,19.19519]",Point
2022-09-25T00:22:53.000Z,169,MH04-EP-836,"[72.977104,19.195227]",Point
2022-09-25T00:23:04.000Z,169,MH04-EP-836,"[72.977173,19.195259]",Point
2022-09-25T00:23:14.000Z,169,MH04-EP-836,"[72.977119,19.195309]",Point
2022-09-25T00:23:24.000Z,169,MH04-EP-836,"[72.977127,19.195337]",Point
2022-09-25T00:23:33.000Z,169,MH04-EP-836,"[72.977112,19.195328]",Point
2022-09-25T00:23:43.000Z,169,MH04-EP-836,"[72.977081,19.195326]",Point
2022-09-25T00:23:54.000Z,169,MH04-EP-836,"[72.977135,19.195322]",Point
2022-09-25T00:24:04.000Z,169,MH04-EP-836,"[72.977066,19.195272]",Point
2022-09-25T00:24:14.000Z,169,MH04-EP-836,"[72.977043,19.195259]",Point
2022-09-25T00:24:24.000Z,169,MH04-EP-836,"[72.976936,19.195297]",Point
2022-09-25T00:24:34.000Z,169,MH04-EP-836,"[72.976936,19.195385]",Point
2022-09-25T00:24:44.000Z,169,MH04-EP-836,"[72.977028,19.195395]",Point
2022-09-25T00:24:54.000Z,169,MH04-EP-836,"[72.977104,19.195402]",Point
2022-09-25T00:25:04.000Z,169,MH04-EP-836,"[72.977142,19.195423]",Point
2022-09-25T00:25:13.000Z,169,MH04-EP-836,"[72.977158,19.195433]",Point
2022-09-25T00:25:23.000Z,169,MH04-EP-836,"[72.977142,19.195436]",Point
2022-09-25T00:25:34.000Z,169,MH04-EP-836,"[72.977058,19.1954]",Point
2022-09-25T00:25:44.000Z,169,MH04-EP-836,"[72.976997,19.195337]",Point
2022-09-25T00:25:54.000Z,169,MH04-EP-836,"[72.97699,19.195362]",Point
2022-09-25T00:26:13.000Z,169,MH04-EP-836,"[72.977104,19.195402]",Point
2022-09-25T00:26:24.000Z,169,MH04-EP-836,"[72.977028,19.195402]",Point
2022-09-25T00:26:34.000Z,169,MH04-EP-836,"[72.977051,19.195393]",Point
2022-09-25T00:26:44.000Z,169,MH04-EP-836,"[72.977028,19.195393]",Point
