LastTrackdt,location.coordinates,location.type
2022-09-25T00:11:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:11:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:11:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:11:47.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:11:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:07.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:47.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:12:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:07.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:47.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:13:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:47.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:14:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:47.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:15:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:16:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:16:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:16:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:16:48.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:16:57.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:17:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:17:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:17:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:17:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:17:48.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:18:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:18:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:18:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:18:48.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:18:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:19:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:19:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:19:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:19:48.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:19:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:20:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:20:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:20:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:20:48.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:20:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:21:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:22:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:23:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:24:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:24:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:24:38.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:24:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:24:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:25:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:39.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:49.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:26:58.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:27:08.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:27:18.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:27:28.000Z,"[72.969795,19.265486]",Point
2022-09-25T00:27:39.000Z,"[72.969795,19.265486]",Point
