geometry,geometry1,longitude,latitude,highway,name,operator,position,public_transport,ref,route_direction,route_num
Feature,Point,72.9522643,19.2837186,bus_stop,Bhaindar Pada,Thane Municipal Transport,1,platform,1,0,53
Feature,Point,72.9554085,19.2810085,bus_stop,Poshmata Mandir,Thane Municipal Transport,2,platform,2,0,53
Feature,Point,72.9592466,19.2758187,bus_stop,Shri Ram Hospital,Thane Municipal Transport,3,platform,3,0,53
Feature,Point,72.9605585,19.2744101,bus_stop,Ovala Gaon,Thane Municipal Transport,4,platform,4,0,53
Feature,Point,72.9636395,19.2719832,bus_stop,Garib Nagar,Thane Municipal Transport,5,platform,5,0,53
Feature,Point,72.9655639,19.2696965,bus_stop,Vadvali Naka,Thane Municipal Transport,6,platform,6,0,53
Feature,Point,72.966885,19.2669712,bus_stop,Sainath Nagar,Thane Municipal Transport,7,platform,7,0,53
Feature,Point,72.9677706,19.2648226,bus_stop,Anand Nagar,Thane Municipal Transport,8,platform,8,0,53
Feature,Point,72.968529,19.2628694,bus_stop,Muchhala College,Thane Municipal Transport,9,platform,9,0,53
Feature,Point,72.9699404,19.2594185,bus_stop,Vijay Garden,Thane Municipal Transport,10,platform,10,0,53
Feature,Point,72.9708717,19.2572802,bus_stop,Panchamrit,Thane Municipal Transport,11,platform,11,0,53
Feature,Point,72.9725657,19.2528982,bus_stop,Wagh Bill Naka,Thane Municipal Transport,12,platform,12,0,53
Feature,Point,72.9733919,19.2510265,bus_stop,Dongri Pada,Thane Municipal Transport,13,platform,13,0,53
Feature,Point,72.9755733,19.2475834,bus_stop,Patli Pada,Thane Municipal Transport,14,platform,14,0,53
Feature,Point,72.9759681,19.2420902,bus_stop,Azad Nagar Naka,Thane Municipal Transport,15,platform,15,0,53
Feature,Point,72.97581,19.2393198,bus_stop,Mulla Bagh,Thane Municipal Transport,16,platform,16,0,53
Feature,Point,72.9762931,19.2352799,bus_stop,Manpada,Thane Municipal Transport,17,platform,17,0,53
Feature,Point,72.9768709,19.2301874,bus_stop,Lokim Company/ R Mall,Thane Municipal Transport,18,platform,18,0,53
Feature,Point,72.9776278,19.2239178,bus_stop,Tattvagyan Vidyapeeth,Thane Municipal Transport,19,platform,19,0,53
Feature,Point,72.9779974,19.2207952,bus_stop,Kapurbawdi,Thane Municipal Transport,20,platform,20,0,53
Feature,Point,72.978135,19.2157388,bus_stop,Ashapura Mandir / Majiwada Naka,Thane Municipal Transport,21,platform,21,0,53
Feature,Point,72.9725174,19.2076682,bus_stop,Flower Valley,Thane Municipal Transport,22,platform,22,0,53
Feature,Point,72.9707751,19.2060586,bus_stop,Jupiter Hospital,Thane Municipal Transport,23,platform,23,0,53
Feature,Point,72.9687213,19.2040422,bus_stop,Cadbury Junction,Thane Municipal Transport,24,platform,24,0,53
Feature,Point,72.9634323,19.1988457,bus_stop,Nitin Company,Thane Municipal Transport,25,platform,25,0,53
Feature,Point,72.9626334,19.1956093,bus_stop,Louiswadi,Thane Municipal Transport,26,platform,26,0,53
Feature,Point,72.9637202,19.18864,bus_stop,Highway Darshan,Thane Municipal Transport,27,platform,27,0,53
Feature,Point,72.9644665,19.1890253,bus_stop,Forest Office,Thane Municipal Transport,28,platform,28,0,53
Feature,Point,72.9674372,19.191445,bus_stop,Hari Nivas,Thane Municipal Transport,29,platform,29,0,53
Feature,Point,72.968646,19.1873711,bus_stop,Ice Factory,Thane Municipal Transport,30,platform,30,0,53
Feature,Point,72.9717405,19.1876806,bus_stop,A.K. Joshi Vidyalaya,Thane Municipal Transport,31,platform,31,0,53
Feature,Point,72.9746832,19.1887829,bus_stop,Gaondevi,Thane Municipal Transport,32,platform,32,0,53
Feature,Point,72.976106,19.186713,bus_stop,Thane Station West SATIS,Thane Municipal Transport,33,platform,33,0,53
Feature,Point,72.961098,19.214507,bus_stop,Shastri Nagar,Thane Municipal Transport,1,platform,204,0,8
Feature,Point,72.959249,19.213635,bus_stop,Shastri Nagar Naka,Thane Municipal Transport,2,platform,205,0,8
Feature,Point,72.96036,19.212208,bus_stop,Building No. 3,Thane Municipal Transport,3,platform,206,0,8
Feature,Point,72.961594,19.210604,bus_stop,Vartak Nagar Naka,Thane Municipal Transport,4,platform,207,0,8
Feature,Point,72.965105,19.20746,bus_stop,Raymond,Thane Municipal Transport,5,platform,208,0,8
Feature,Point,72.967132,19.205685,bus_stop,Cadbury Junction 2,Thane Municipal Transport,6,platform,209,0,8
